Grid,Answer,Enumeration,Reversed,Surface,Parse
292,RAISE,5,,Rear section of orchestra is euphoniums,10. <rear> RAISE = (.t)RA IS E(u.)
293,BALANITIS,9,yes,Sample from deposit in a laboratory reflected head inflammation,14. ←(.o)SIT IN A LAB(o.)← = BALANITIS <head inflammation>
293,CHEVRONEL,9,,"Small arrowhead in cartouche, VR one locating traps",27. <small arrowhead> CHEVRONEL = (.u)CHE VR ONE L(a.)
294,ONSLAUGHT,9,,Offensive buffoon's laugh taunting guards,16. <offensive> ONSLAUGHT = (.o)ON'S LAUGH T(a.)
295,GRUYERE,7,yes,Cheese from Monterey urgently sent north,19. <cheese> GRUYÈRE = ←(.t)EREY URG(e.)←
295,NACHOS,6,,Portion of semolina chosen for Mexican snacks,24. (.i)NA CHOS(e.) = NACHOS <Mexican snacks>
297,FIFTH,5,,Relief if theatre includes this musical interval,21. (.e)F IF TH(e.) = FIFTH <musical interval>
298,CANISMAJOR,"5,5",,Characters encapsulated by anti-Americanism: a Jordanian group of stars,1. (.i)CANISM: A JOR(d.) = CANIS MAJOR <group of stars>
298,INSPECT,7,,Check out boring studmuffin's pectorals,11. <check out> INSPECT = (.f)IN'S PECT(o.)
299,OATER,5,,"Episode of Zorro, a terrible Western",22. (.r)O A TER(r.) = OATER <Western>
300,MANITOU,7,,Algonquian spirit inhabiting shaman I touted,13. <Algonquian spirit> MANITOU = (.a)MAN I TOU(t.)
301,ONENOTE,3-4,yes,Repetitive inversion of extract from twelve-tone nocturne,19. <repetitive> ONE-NOTE = ←(.v)E-TONE NO(c.)←
302,REVERSI,7,,Some theatre versified Othello,5. (.t)RE VERSI(f.) = REVERSI <Othello>
303,GYMRAT,"3,3",yes,"Athletic sort joining conscript army gladly, after revolution",22. <athletic sort> GYM RAT = ←(.p)T ARMY G(l.)←
303,NERF,4,,Make weaker coroner follow nurses,26. <make weaker> NERF = (.o)NER F(o.)
304,OBSESS,6,,"Be fanatically invested in heartthrobs, essentially",7. <be fanatically invested> OBSESS = (.r)OBS ESS(e.)
305,ATANYRATE,"2,3,4",yes,Contribution from secretary Natalie sent back regardless,4. ←(.r)ETARY NATA(l.)← = AT ANY RATE <regardless>
305,NATIONALTHEATRE,"8,7",,"With some impersonation, ""Althea"" treats playhouse",9. (.o)NATION ALTHEA TRE(a.) = NATIONAL THEATRE <playhouse>
306,OAXACA,6,,State boring hoax academically,21. <state> OAXACA = (.h)OAX ACA(d.)
307,MIMSY,5,,How 16d were saved by antivenom I'm synthesising,8. <how 16d were> MIMSY = (.o)M I'M SY(n.)
307,RICOTTA,7,,Apricot tart contains this dairy product,25. (.p)RICOT TA(r.) = RICOTTA <dairy product>
309,JASPER,6,,Gem embedded in maharaja's periapt,10. <gem> JASPER = (.a)JA'S PER(i.)
310,REV,3,,Gun smuggled by counterrevolutionaries,7. <gun {e.g. a car engine}> REV = (.r)REV(o.)
311,MONSTROUS,9,,Simon's trouser hems awfully huge,20. (.i)MON'S TROUS(e.) = MONSTROUS <awfully huge>
312,TSESAREVNA,10,yes,Returned contribution to noblewoman Vera's estranged heiress,28. ←(.m)AN VERA'S EST(r.)← = TSESAREVNA <heiress>
313,ESPRESSO,8,yes,Drink drunk by tosser pseudoscientist being thrown up,3. <drink> ESPRESSO = ←(.t)OSSER PSE(u.)←
314,OVERDESIGN,10,,Include unnecessary features in Cabo Verde signage,14. <include unnecessary features in> OVERDESIGN = (.b)O VERDE SIGN(a.)
315,SUNNI,5,,Religious person engaged in Whitsun niceties,21. <religious person> SUNNI = (.t)SUN NI(c.)
317,LOFTINESS,9,,Idol of tin essentially captures arrogance,15. (.i)L OF TIN ESS(e.) = LOFTINESS <arrogance>
318,ATOC,4,,Stinker tucked into potato chips,6. <stinker> ATOC = (.t)ATO C(h.)
318,NULLIPARA,9,yes,"Some fear a pill unduly, lying about childless adult",19. ←(.e)AR A PILL UN(d.)← = NULLIPARA <childless adult>
320,ARCH,4,,Vault hidden in particular church,3. <vault> ARCH = (.l)AR CH(u.)
321,EBUSINESS,1-8,,"Online retailer bungs arquebus in ""Essentials""?",13. <online retailer> E-BUSINESS = (.u)EBUS IN ESS(e.)
322,VELCRO,6,,Way of closing part of level crossing,22. <way of closing> VELCRO = (.e)VEL CRO(s.)
323,SKI,3,,"Travel across snow, ferried by huskies",2. <traevl across snow> SKI = (.u)SKI(e.)
323,TINAMOU,7,,Bird sheltered in Argentina mountainside,7. <bird> TINAMOU = (.n)TINA MOU(n.)
324,LIVERSPOT,"5,4",,Mark delivers potable drinks,23. <mark> LIVER SPOT = (.e)LIVERS POT(a.)
